year,month,day,validity,causeCode,earthquakeMagnitude,locationCountry,locationName,locationLat,locationLong,maxWaterHeight,runups,numDeaths,numInjuries,descrDamage,numDestroyedHouses
1828,12,29,-1,1,*,INDONESIA,FLORES SEA,,,,0,,,,
1829,5,23,2,1,,TURKEY,CONSTANTINOPLE,  41.100,   24.300,,1,,,,
1829,9,26,-1,1,*,CHILE,SC. CHILE,,,,0,,,,
1830,1,10,1,0,,HOLLAND,HOLLAND,,,,0,,,,
1830,1,18,0,1,*,PHILIPPINES,W. LUZON ISLAND,  14.550,  120.900,   1.00,1,,,,
1830,9,16,0,1,*,PHILIPPINES,W. LUZON ISLAND,  14.550,  120.900,,1,,,,
1831,5,26,2,1,,ITALY,SAN REMO,  43.800,    7.800,,1,,,,
1831,7,2,2,1,,ITALY,SCIACCA,  37.050,   12.300,,1,,,,
1831,12,3,1,1,*,TRINIDAD AND TOBAGO,TRINIDAD & ST. CHRISTOPHER,  12.400,  -61.500,,2,,,,
1831,,,3,1,*,NEW ZEALAND,"POVERTY BAY, NORTH ISLAND", -38.700,  178.000,,0,,,,
1832,3,8,2,1,,ITALY,CUTRO,  39.000,   17.000,,1,,,,
1833,1,19,2,1, 6.4,ALBANIA,ALBANIA,  40.400,   19.900,,2,,,,
1833,3,10,3,1,*,MEXICO,S. MEXICO,  16.800,  -99.900,,1,,,,
1833,9,6,0,1, 8.0,CHINA,YUNNAN PROVINCE,  25.200,  103.000,,1,,,,
1833,9,18,1,1, 7.7,PERU,S. PERU, -18.251,  -71.010,   9.00,1,,,,
1833,11,24,4,1, 8.3,INDONESIA,SW. SUMATRA,  -2.500,  100.500,,5,,,2,
1833,12,7,4,1, 7.4,JAPAN,NW. HONSHU ISLAND,  38.900,  139.150,   9.00,27,50,,3,600
1834,2,9,4,1, 6.4,JAPAN,W. HOKKAIDO ISLAND,  43.300,  141.400,,1,,,1,50
1834,3,14,1,1, 7.0,MEXICO,S. MEXICO,  16.800,  -99.900,,1,,,1,
1835,2,20,4,1, 8.2,CHILE,CENTRAL CHILE, -36.830,  -73.030,  24.00,22,3,,2,
1835,7,12,2,0,,GREECE,IONIAN ISLANDS,,,,1,,,,
1835,7,20,4,1, 7.6,JAPAN,SANRIKU,  37.900,  141.900,   5.00,4,,,3,
1835,8,19,-1,1,,JAPAN,"MIYAGI, JAPAN",,,,2,,,,
1836,1,21,1,0,,AUSTRALIA,TASMANIA, -43.300,  148.900,,0,,,,
1836,3,5,2,1,*,INDONESIA,FLORES SEA,  -8.300,  118.700,,1,,,,
1836,4,24,3,1,,ITALY,ROSSANO,  39.600,   16.600,,3,,,,
1836,7,3,2,1, 7.5,CHILE,NORTHERN CHILE, -22.600,  -70.300,   2.00,2,,,,
1836,9,5,-1,1,,JAPAN,SANRIKU,  37.700,  142.000,,1,,,,
1836,11,28,2,1, 7.5,INDONESIA,FLORES SEA,  -8.300,  118.700,,1,,,,
1837,1,1,3,1,*,ISRAEL,ISRAEL and SYRIAN COASTS,  33.000,   35.500,,0,,,,
1837,8,1,1,0,,NETHERLANDS,VLISSINGEN,  51.440,    3.570,,0,,,,
1837,8,2,-1,9,*,USA TERRITORY,VIRGIN ISLANDS,,,,1,,,,
1837,8,9,2,1, 6.5,MEXICO,ACAPULCO,  16.860,  -99.880,,1,,,,
1837,9,29,2,1, 7.3,INDONESIA,BANDA ACEH,   5.500,   96.000,,3,,,,
1837,10,18,2,1, 7.0,MEXICO,MEXICO CITY,  19.450,  -99.150,,1,,,,
1837,10,,2,0,,"MICRONESIA, FED. STATES OF",CAROLINE ISLANDS,   7.500,  146.500,,3,,,2,
1837,11,7,4,1, 8.5,CHILE,SOUTHERN CHILE, -42.500,  -74.000,   6.00,17,16,,2,
1838,5,7,2,1,*,CHILE,CENTRAL CHILE, -36.700,  -73.100,    .80,1,,,,
1838,8,10,2,1,,CROATIA,RIJEKA,  45.300,   14.500,,1,,,,
1839,2,12,1,4,,CHILE,CENTRAL CHILE, -33.620,  -76.830,,0,,,,
1839,3,,1,1,*,USA,HAWAII,,,,1,,,,
1839,5,1,1,1, 7.3,JAPAN,SE. HOKKAIDO ISLAND,  42.500,  145.000,,1,,,,
1839,,,3,0,,NEW ZEALAND,"WAIKAWA, SOUTHLAND", -46.627,  169.126,,1,,,,
1840,1,4,2,1, 7.0,INDONESIA,JAVA,  -8.000,  110.500,,1,,,,
1840,1,16,-1,9,,USA,S. CALIFORNIA,,,,1,,,,
1840,1,28,1,1,*,PERU,CENTRAL PERU, -12.300,  -77.300,,1,,,,
1840,2,14,2,1,*,INDONESIA,N. MOLUCCAS ISLANDS,    .800,  127.325,,1,,,1,
1840,3,22,1,1, 6.5,PHILIPPINES,PHILIPPINE SEA,  12.900,  123.900,,1,35,,1,
1840,7,28,0,1,,NEW ZEALAND,WHITIANGA, -36.836,  175.692,,1,,,,
1840,8,,2,0,,NEW ZEALAND,EAST CAPE, -37.610,  178.350,   1.00,2,,,,
1840,11,11,0,1, 5.2,USA,"PHILADELPHIA, PENNSYLVANIA",  39.800,  -75.200,,1,,,,
1840,,,-1,1,,USA,HAWAII,,,,1,,,,
1841,5,17,4,1, 8.4,RUSSIA,KAMCHATKA,  52.000,  158.000,  15.00,7,,,1,
1841,11,26,3,1,*,INDONESIA,MOLUCCAS ISLANDS,  -5.000,  130.000,   3.00,1,,,,
1841,12,16,3,1, 6.0,INDONESIA,BANDA SEA,  -4.000,  127.500,   1.50,4,,,2,
1841,,,1,0,,PERU,PERU,,,,1,,,,
1842,5,7,4,1, 8.1,HAITI,CAP-HAITIAN,  19.750,  -72.200,   5.00,6,300,,3,
1842,11,1,2,1,*,CANADA,ST. LAWRENCE,,,,0,,,,
1842,11,11,1,1, 6.0,BANGLADESH,BAY OF BENGAL:  NORTHERN END,  24.000,   89.250,,3,,,,
1843,1,5,4,1, 7.3,INDONESIA,SW. SUMATRA,   1.500,   98.000,,3,,,3,
1843,2,7,1,1, 6.0,INDONESIA,BALI SEA,  -7.200,  114.000,,1,,,,
1843,2,8,4,1, 8.3,GUADELOUPE (FRENCH TERRITORY),POINTE-A-PITRE,  16.500,  -62.200,   1.20,1,,,,
1843,2,17,1,6,,GUADELOUPE (FRENCH TERRITORY),MARIE-GALANTE ISLAND,  15.933,  -61.267,,1,,,,
1843,4,25,4,1, 8.4,JAPAN,SE. HOKKAIDO ISLAND,  42.000,  146.000,   4.50,8,45,,2,75
1843,7,5,0,0,,UK,"CORNWALL, ENGLAND",,,,0,,,,
1843,7,8,2,1, 7.5,NEW ZEALAND,NEW ZEALAND, -39.900,  175.000,,1,,,,
1843,9,14,2,1,,CROATIA,DUBROVNIK,  42.600,   18.100,,2,,,,
1843,10,18,2,1, 6.5,GREECE,ISLAND OF CHALKI,  36.300,   27.600,,1,,,,
1844,3,3,2,1,,CROATIA,DUBROVNIK,,,,1,,,,
1844,3,8,-1,0,,JAPAN,"IAMACHI, JAPAN",,,,0,,,,
1844,3,22,2,1,,CROATIA,DUBROVNIK,  43.400,   16.700,,1,,,,
1844,5,,0,1, 7.4,NICARAGUA,LAKE NICARAGUA,  11.200,  -84.800,,0,,,1,
1845,2,8,3,1, 7.0,INDONESIA,CELEBES SEA,   1.500,  124.850,,1,,,,
1845,4,7,3,1, 8.0,MEXICO,S. MEXICO,  17.000, -100.600,,1,,,,
1845,6,18,1,1,,ITALY,ISLAND OF SICILY,  36.400,   13.440,,1,,,,
1845,6,19,3,1, 6.3,INDIA,RANN OF KUTCH,  23.583,   68.367,,3,,,2,
1845,7,5,1,1,*,NEW ZEALAND,N. NEW ZEALAND, -39.930,  175.050,   1.00,1,,,,
1845,8,16,1,1,,CROATIA,DUBROVNIK,,,,1,,,,
1845,9,,-1,1,,JAPAN,"NAGASAKI, JAPAN",,,,1,,,,
1845,,,3,8,,USA,"SE. ALASKA, AK",,,,1,100,,,
1846,1,25,4,1, 7.3,INDONESIA,"TERNATE ISLAND, N. MOLUCCAS ISLANDS",   2.000,  126.500,   1.20,2,,,,
1846,3,,4,1, 6.9,JAPAN,SANRIKU,  39.500,  142.500,   2.00,2,,,,
1846,5,7,4,0,,NEW ZEALAND,"LAKE TAUPO, NORTH ISLAND", -38.960,  175.730,,0,,,,
1846,7,25,2,1,,TURKEY,IZMIR,,,,1,,,,
1846,8,14,3,1, 6.1,ITALY,LIVORNO,  43.400,   10.600,,1,,,,
1846,8,26,3,1,,ITALY,TUSCANY,  43.500,   10.500,,2,,,,
1846,9,12,3,1,,ITALY,TUSCANY,,,,0,,,,
1846,9,19,3,1,,ITALY,TUSCANY,,,,0,,,,
1846,10,4,3,1,,ITALY,TUSCANY,,,,0,,,,
1846,10,14,3,1,,ITALY,TUSCANY,,,,0,,,,
1846,10,19,3,1,,ITALY,TUSCANY,,,,0,,,,
1846,10,24,3,1,,ITALY,TUSCANY,,,,0,,,,
1846,10,28,3,1,,ITALY,TUSCANY,,,,0,,,,
1846,11,29,3,1,,ITALY,TUSCANY,,,,0,,,,
1846,12,3,2,1,,ITALY,TUSCANY,  43.300,   10.700,,2,,,,
1846,,,2,1,,TURKEY,ISMIR,,,,0,,,,
1847,4,15,3,1,,ITALY,LIVORNO,,,,0,,,,
1847,4,16,3,1,,ITALY,LIVORNO,,,,0,,,,
1847,4,17,3,1,,ITALY,LIVORNO,,,,0,,,,
1847,5,23,2,1,*,PERU,CENTRAL PERU, -12.100,  -77.100,   2.00,1,,,1,
1847,8,26,2,0,,ITALY,NAPLES,,,,1,,,,
1847,8,27,1,9,,JAPAN,SANRIKU,,,,4,335,,1,
1847,10,19,2,1,*,CHILE,CENTRAL CHILE, -31.610,  -71.180,,1,,,,
1847,10,31,3,1,*,INDIA,LITTLE NICOBAR ISLAND,   7.333,   93.667,,1,,,,
1848,6,,1,0,,RUSSIA,KAMCHATKA,,,,0,,,,
1848,7,12,2,1,*,FRENCH POLYNESIA,TAHITI, -17.900, -149.900,,2,,,1,
1848,9,24,3,8,,CANADA,"FISHING SHIPS HARBOUR, NEWFOUNDLAND",  52.616,  -55.766,,4,,,,
1848,10,15,1,3, 7.9,NEW ZEALAND,COOK STRAIT, -41.900,  173.600,    .30,3,,,,
1848,10,17,-1,1, 6.0,NEW ZEALAND,COOK STRAIT,,,,1,,,,
1848,10,18,-1,1, 6.0,NEW ZEALAND,WELLINGTON,,,,4,,,,
1849,1,25,3,1, 7.5,USA TERRITORY,"GUAM, MARIANA ISLANDS",  14.000,  143.300,   6.10,7,,1,2,
1849,9,28,4,1,*,RUSSIA,KAMCHATKA,  55.000,  166.000,,4,,,,
1849,11,17,4,1, 7.5,CHILE,CENTRAL CHILE, -29.950,  -71.370,   5.00,3,,,1,
1850,1,21,2,0,,ITALY,LIVORNO,,,,0,,,,
1850,5,16,2,0,,ITALY,LIVORNO,,,,1,,,,
1850,7,20,1,8,,JAPAN,SANRIKU,  39.500,  142.000,   2.00,0,,,,
1850,10,20,2,1,,ITALY,LIVORNO,,,,1,,,,
1850,,,1,6,,NORTHWEST PACIFIC OCEAN,PHILIPPINE SEA,  20.600,  134.800,,0,,,,
1851,2,28,2,1,,GREECE,DODECANESE ISLANDS,  36.500,   28.700,,0,,,,
1851,2,28,3,1, 7.2,TURKEY,"FETIYE, ASIA MINOR",  35.500,   28.700,    .90,1,,,,
1851,4,2,-1,1, 7.1,CHILE,CENTRAL CHILE,,,,0,,,,
1851,4,3,3,1,,TURKEY,ASIA MINOR,,,,1,,,,
1851,5,4,3,0,,INDONESIA,LAMPUNG BAY,  -5.000,  105.000,   1.50,1,,,,
1851,5,15,1,1,*,USA,N. CALIFORNIA,  37.800, -122.400,,2,,,,
1851,5,23,2,0,,GREECE,KHALKI ISLET,,,,0,,,,
1851,5,26,2,1, 7.2,CHILE,NORTHERN CHILE, -27.350,  -70.350,   3.00,2,,,1,
1851,7,28,1,1,,ITALY,LIGURIAN SEA,  43.750,   10.300,,1,,,,
1851,10,12,2,1, 6.6,ALBANIA,ALBANIAN COASTS,  40.500,   19.700,    .66,1,,,,
1851,11,13,1,1,*,USA,"SAN FRANCISCO BAY, N. CALIFORNIA",,,,1,,,,
1851,12,16,1,0,,ITALY,LIVORNO,,,,0,,,,
1852,1,9,3,1, 6.5,INDONESIA,JAVA,  -6.500,  105.500,,1,,,,
1852,2,2,2,6,,ITALY,LIVORNO,,,,0,,,,
1852,5,12,2,1,,TURKEY,ASIA MINOR,,,,1,,,,
1852,6,26,2,1,,ITALY,LIVORNO,,,,0,,,,
1852,7,17,2,2,*,CUBA,SANTIAGO DE CUBA,  20.000,  -75.800,,1,,,2,
1852,9,8,3,1,,TURKEY,ASIA MINOR,,,,0,,,,
1852,9,16,2,1, 7.5,PHILIPPINES,W. LUZON ISLAND,  14.000,  120.500,,1,,,,
1852,11,10,-1,1,,INDONESIA,BANDA SEA,,,,0,,,,
1852,11,10,2,1,,ITALY,LIVORNO - LIGURIAN SEA,,,,0,,,,
1852,11,11,1,1, 6.8,INDONESIA,"SIBOLGA, SUMATRA",   1.500,   98.000,,3,,,,
1852,11,16,-1,1,,INDONESIA,BANDA SEA,,,,0,,,,
1852,11,19,1,1,*,INDONESIA,"AMBON ISLAND, BANDA SEA",  -3.700,  128.200,,1,,,,
1852,11,23,-1,1,,INDONESIA,BANDA SEA,,,,0,,,,
1852,11,25,1,1,*,USA,"SAN FRANCISCO, N. CALIFORNIA",,,,1,,,,
1852,11,25,4,1, 8.3,INDONESIA,BANDA SEA,  -5.250,  129.750,   8.00,22,60,,2,
1852,11,27,1,1,*,PERU,PERU, -12.100,  -77.100,,0,,,,
1852,11,29,3,1, 7.0,MEXICO,N. MEXICO,  32.500, -115.500,   3.00,1,,,,
1852,12,4,2,1, 7.0,MEXICO,S. MEXICO,  17.000, -100.000,,1,,,,
1852,12,24,1,1, 7.0,INDONESIA,BANDANEIRA,  -5.000,  130.500,,7,,,1,
1853,4,8,2,1,,ITALY,TYRRHENIAN SEA -SALERNO,,,,0,,,,
1853,7,15,4,1, 6.7,VENEZUELA,CUMANA,  10.500,  -64.200,   5.00,4,,,1,
1853,8,18,3,1,*,GREECE,CENTRAL GREECE (EVOIKOS GULF),  38.250,   23.500,,1,,,,
1853,10,3,2,1,*,JAPAN,OKINAWA ISLAND,  26.200,  127.600,,1,,,,
1853,10,29,1,6,,TAIWAN,E. TAIWAN-RYUKYU ISLANDS,  24.000,  121.830,,0,,,,
1853,11,,1,1,*,RUSSIA,S. KURIL ISLANDS,  47.000,  152.000,,2,,,,
1853,12,11,2,1,,MONTENEGRO,DALMATIA - ADRIATIC SEA,,,   1.00,1,,,,
1853,12,24,1,1,*,TONGA,TONGATAPU ISLAND, -21.167, -175.167,,2,,,,
1853,,,4,8,,USA,"LITUYA BAY, AK",  58.630, -137.570, 120.00,1,,,,
1854,1,4,2,1, 6.0,INDONESIA,BANDA SEA,  -3.500,  128.600,,1,,,,
1854,1,15,1,6,,NORTHWEST PACIFIC OCEAN,PHILIPPINE SEA,  20.900,  134.800,,0,,,,
1854,1,27,3,3,*,USA,"KODIAK ISLAND, AK",  57.000, -152.000,   2.40,2,,,,
1854,2,29,1,0,,FRANCE,LIGURIAN SEA,,,,0,,,,
1854,5,31,1,3,*,USA,S. CALIFORNIA,  34.400, -119.700,,1,,,,
1854,6,27,-1,1,,RUSSIA,N. KURIL ISLANDS,  51.000,  158.000,,0,,,,
1854,7,9,4,6,,RUSSIA,N. KURIL ISLANDS,  50.900,  155.500,,0,,,,
1854,7,24,2,0,,USA,S. CALIFORNIA,,,    .10,1,,,,
1854,8,4,2,1, 7.2,COSTA RICA,COSTA RICA-PANAMA,   8.500,  -83.000,,0,,,,
1854,8,7,2,3, 7.2,COSTA RICA,COSTA RICA-PANAMA,   8.500,  -83.000,,1,,,3,
1854,8,18,2,0,,USA,S. CALIFORNIA,,,    .03,1,,,,
1854,9,27,3,1,*,INDONESIA,N. MOLUCCAS ISLANDS,    .800,  127.400,,1,,,,
1854,10,4,3,0,,USA,N. CALIFORNIA,,,    .03,1,,,,
1854,10,22,2,1,*,USA,N. CALIFORNIA,  37.800, -122.400,,1,,,,
1854,11,1,-1,0,,USA,N. CALIFORNIA,,,,1,,,,
1854,11,10,-1,0,,USA,N. CALIFORNIA,,,,0,,,,
1854,12,1,-1,0,,USA,N. CALIFORNIA,,,,0,,,,
1854,12,4,1,0,,MEXICO,S. MEXICO,  16.800,  -99.200,,0,,,,
1854,12,23,4,1, 8.3,JAPAN,ENSHUNADA SEA,  34.000,  137.900,  21.00,72,300,,4,8300
1854,12,24,4,1, 8.4,JAPAN,NANKAIDO,  33.100,  135.000,  28.00,81,3000,,4,15000
1854,12,29,2,1,*,FRANCE,LIGURIAN SEA,  43.800,    7.900,,2,,,1,
1855,1,23,3,1, 8.0,NEW ZEALAND,NORTHERN ISLAND, -41.250,  175.000,  11.00,28,,,,
1855,2,3,4,1,,NEW ZEALAND,WHARANUI, -41.930,  174.090,,1,,,,
1855,2,11,2,3, 5.5,NEW ZEALAND,, -39.200,  177.600,,1,,,,
1855,2,13,2,1,,TURKEY,ASIA MINOR,,,,0,,,,
1855,2,17,2,0,,PORTUGAL,AZORES,,,  10.00,1,,,,
1855,3,20,1,1, 6.0,USA,N. CALIFORNIA,  40.750, -124.200,,1,,,,
1855,4,14,3,0,,INDONESIA,FLORES ISLAND,  -9.000,  121.000,,1,,,1,
1855,5,18,2,0,,FRANCE,LIGURIAN SEA  - NICE,,,,1,,,,
1855,7,11,3,3, 6.0,USA,S. CALIFORNIA,  34.100, -118.100,,1,,,,
1855,8,11,1,1,*,CHILE,CENTRAL CHILE, -33.000,  -71.700,,0,,,,
1855,9,25,1,1,*,HONDURAS,TRUJILLO,  15.910,  -85.960,,1,,,,
1855,10,22,1,1,*,USA,N. CALIFORNIA,  37.800, -122.400,,1,,,,
1855,11,7,4,1, 7.0,JAPAN,ENSHUNADA,  34.500,  137.600,   3.00,6,,,,
1855,11,11,4,1, 7.0,JAPAN,TOKAIDO,  35.650,  139.800,,2,,,,
1855,12,3,1,1, 7.0,JAPAN,NANKAIDO,  32.500,  134.500,,0,,,,
1855,,,0,1, 4.8,CHINA,SICHUAN PROVINCE,  29.200,  108.100,   3.00,1,,,1,
1856,1,6,1,0,,PORTUGAL,AZORES,,,,0,,,,
1856,2,15,3,3, 5.5,USA,N. CALIFORNIA,  37.500, -122.300,    .60,1,,,,
1856,3,2,4,6,*,INDONESIA,SANGIHE ISLAND,   3.670,  125.500,,2,,,,
1856,3,,3,0,,NEW ZEALAND,"S CANTERBURY PROVINCE, SOUTH ISLAND", -44.000,  172.000,   1.00,2,,,,
1856,7,25,2,1,*,INDONESIA,JAVA-FLORES SEA,  -8.500,  116.000,,1,,,,
1856,7,26,1,6,,USA,"UNIMAK ISLAND, AK",  54.600, -165.000,,1,,,,
1856,8,4,4,3, 7.5,HONDURAS,BAY OF HONDURAS,  16.000,  -88.000,   5.00,5,,,2,
1856,8,21,3,1,*,ALGERIA,SEA OF ALBORAN,  37.100,    5.700,,2,,,1,
1856,8,22,3,1,*,ALGERIA,SEA OF ALBORAN,  37.100,    5.700,   5.00,4,,,,
1856,8,23,4,1, 8.0,JAPAN,SE. HOKKAIDO ISLAND,  40.500,  143.500,   6.00,33,26,,2,193
1856,9,,2,9,,JAPAN,TOKYO BAY,  35.600,  139.700,,1,,,,
1856,10,12,2,1, 8.3,GREECE,CRETE,  35.500,   26.000,,1,,,,
1856,11,13,3,1, 6.6,GREECE,"CHIOS ISLAND, AEGEAN ISLANDS",  38.500,   26.250,,1,,,,
1857,1,6,0,1,*,SUDAN,NILE RIVER,   4.900,   31.700,,0,,,,
1857,4,17,4,3, 8.0,PAPUA NEW GUINEA,BISMARCK SEA,  -5.500,  147.000,,5,,,2,
1857,5,13,4,1, 7.0,INDONESIA,BALI SEA,  -8.000,  115.500,   3.40,3,,,,
1857,5,23,2,1,*,ALGERIA,SEA OF ALBORAN,  36.500,    1.300,,1,,,,
1857,7,13,4,1, 6.4,JAPAN,TOKAIDO,  34.800,  138.300,,1,,,1,
1857,9,17,0,1,*,TURKEY,MARMARA SEA,  40.200,   29.000,,1,,,,
1857,11,17,3,1,*,INDONESIA,"KEMA, SULAWESI I, N. MOLUCCAS IS",   1.350,  125.200,,2,,,2,
1857,11,18,2,1,*,INDONESIA,"KEMA, SULAWESI I, N. MOLUCCAS IS",   1.350,  125.200,,1,,,,
1858,1,31,2,0,,AUSTRALIA,TASMAN SEA,,,,1,,,,
1858,2,21,1,1,,GREECE,GULF OF CORINTH,  37.900,   22.900,,0,,,,
1858,4,24,2,1, 6.5,CHILE,CENTRAL CHILE, -30.000,  -71.400,,1,,,,
1858,6,5,2,0,,UK,"DOVER STRAITS, ENGLAND",  51.030,    1.610,   2.40,2,,,,
1858,8,6,-1,9,,NEW ZEALAND,,,,,0,,,,
1858,9,15,2,0,,NEW ZEALAND,SE. NEW ZEALAND,,,,0,,,,
1858,9,,1,1,*,JAPAN,RYUKYU ISLANDS,  26.200,  127.500,,1,,,,
1858,12,13,2,1, 7.3,INDONESIA,N. MOLUCCAS ISLANDS,   1.000,  126.000,,9,,,3,
1859,6,28,4,1, 7.0,INDONESIA,N. MOLUCCAS ISLANDS,   1.000,  126.500,  10.00,4,,,,
1859,7,20,3,1,*,INDONESIA,"LONTOR ISLAND, BANDA SEA",  -4.600,  129.900,,1,,,,
1859,7,29,4,1, 7.3,INDONESIA,N. MOLUCCAS ISLANDS,    .009,  125.500,   1.00,5,,,2,
1859,8,21,3,1,,TURKEY,IMROZ - AEGEAN SEA,  40.000,   26.000,,1,,,,
1859,8,25,3,1, 6.2,EL SALVADOR,EL SALVADOR,  13.330,  -87.810,,1,,,1,
1859,9,24,2,0,*,USA,"HALF MOON BAY, N. CALIFORNIA",,,   4.60,1,,,,
1859,9,25,2,1, 6.8,INDONESIA,BANDA SEA,  -5.500,  130.500,,2,,,,
1859,10,5,4,1, 7.6,CHILE,NORTHERN CHILE, -27.350,  -70.350,   6.00,1,,,1,
1859,10,11,-1,1,,CHILE,N. CENTRAL CHILE,,,,0,,,,
1859,10,20,1,0,,GREECE,PIREAUS,,,,1,,,,
1859,10,20,2,1,*,INDONESIA,SOUTH OF JAVA,  -9.000,  111.000,,1,2,,1,
1859,10,26,-1,0,,INDONESIA,N. MOLUCCAS ISLANDS,,,,0,,,,
1859,11,22,2,1,*,AUSTRALIA,TASMANIA, -40.850,  145.320,,1,,,,
1859,12,9,3,1, 7.0,EL SALVADOR,EL SALVADOR,  13.700,  -89.800,,1,,,1,
1859,12,17,2,1,*,INDONESIA,N. MOLUCCAS ISLANDS,    .900,  124.900,,1,,,,
1859,12,25,3,0,,INDONESIA,N. MOLUCCAS ISLANDS,   1.370,  125.100,,1,,,,
1860,1,6,2,1,,SPAIN,SEA OF ALBORAN,,,,0,,,,
1860,3,17,1,0,,MEXICO,S. MEXICO,  16.700,  -99.200,,1,,,,
1860,4,8,4,1, 7.5,HAITI,ANSE-A-VEAU,  18.520,  -73.350,,4,,,,
1860,4,23,3,1,*,PERU,CENTRAL PERU, -12.100,  -77.100,,1,,,,
1860,8,,1,1,*,INDONESIA,SULAWESI-N. MOLUCCAS ISLANDS,   1.300,  121.000,,1,,,,
1860,10,6,3,1,*,INDONESIA,CERAM SEA,  -1.250,  128.500,,1,,,,
1860,12,1,2,0,,USA,HAWAII,,,   3.60,4,,,1,
1861,2,16,4,1, 8.5,INDONESIA,SW. SUMATRA,  -1.000,   97.500,   7.00,17,1105,,2,
1861,2,21,0,1,,INDONESIA,WANAIDJAS,,,,1,,,,
1861,3,9,4,1, 7.0,INDONESIA,SW. SUMATRA,    .009,   98.000,,4,950,,1,96
1861,3,20,-1,1,*,CHILE,SC. CHILE,,,,0,,,,
1861,3,,2,0,,INDONESIA,BANDA SEA,  -3.700,  128.200,   1.80,1,,,1,
1861,4,26,4,1, 7.0,INDONESIA,SW. SUMATRA,   1.000,   97.500,,1,,,,
1861,5,4,-1,11,,USA,N. CALIFORNIA,,,,1,,,,
1861,5,5,-1,11,,USA,N. CALIFORNIA,,,,1,,,,
1861,6,5,2,0,,INDONESIA,JAVA,  -6.300,  107.300,,2,,,1,
1861,6,17,3,1, 6.8,INDONESIA,SW. SUMATRA,   1.000,   97.500,,1,,,,
1861,9,25,3,1, 6.5,INDONESIA,SW. SUMATRA,  -1.500,  100.000,,1,,,1,
1861,10,20,4,1, 7.4,JAPAN,OFF MIYAGI,  38.500,  142.000,   3.90,4,,,1,
1861,12,26,4,3, 7.3,GREECE,CORINTH GULF,  38.200,   22.200,   2.10,6,,,2,
1862,1,1,3,1,,GREECE,IONIAN SEA,  38.250,   22.250,,0,,,1,
1862,1,28,1,9,,USA,HAWAII,,,,1,,,,
1862,3,4,1,1, 6.0,PHILIPPINES,W. LUZON ISLAND,  14.500,  121.000,,0,,,1,
1862,3,18,2,1,,FRANCE,LIGURIAN SEA,,,,1,,,,
1862,4,8,-1,0,,INDONESIA,"CHERIBON DISTRICT, JAVA",  -6.700,  108.570,   2.10,1,,,,
1862,5,27,4,3, 5.9,USA,S. CALIFORNIA,  32.700, -117.200,   1.20,1,,,,
1862,7,10,2,1, 6.5,GHANA,GOLD COAST,   7.000,     .400,,1,,,,
1862,11,24,2,0,,ITALY,GULF OF GENOVA,,,,0,,,,
1863,3,16,1,1,*,INDONESIA,JAVA,  -6.100,  106.700,,1,,,,
1863,3,22,1,1,,GREECE,AEGEAN SEA,  36.500,   28.000,,0,,,,
1863,6,3,2,1, 6.5,PHILIPPINES,W. LUZON ISLAND,  14.500,  121.000,,1,,,1,
1863,8,17,2,1, 7.5,VANUATU,VANUATU ISLANDS, -19.000,  168.500,,1,,,,
1863,9,20,3,1, 6.4,JAPAN,NW. HOKKAIDO ISLAND,  44.600,  141.500,,1,,,,
1863,,,1,0,,CANADA,NEWFOUNDLAND,,,,0,,,,
1864,2,16,-1,1,,INDONESIA,SW. SUMATRA,,,,0,,,,
1864,5,19,1,1,*,HAITI,JACMEL,  18.200,  -72.530,,0,,,,
1864,5,23,3,1, 7.8,INDONESIA,NW. IRIAN JAYA,  -1.000,  135.000,   3.00,2,250,,3,
1864,6,27,3,1,*,CANADA,"SW AVALON PENINSULA, NEWFOUNDLAND",  46.500,  -53.700,,1,,,,
1865,1,8,3,1,*,PERU,CENTRAL PERU, -12.000,  -77.100,   2.00,1,5,,1,
1865,3,1,1,0,*,JAPAN,RYUKYU ISLANDS,  26.200,  127.500,,1,,,,
1865,3,1,2,1,*,PERU,CALLAO,,,,1,,,,
1865,7,16,1,1,,USA,"UNALASKA ISLAND, AK",  54.000, -167.000,,1,,,1,
1865,10,4,-1,0,,USA,"SAN FRANCISCO, CA",  37.000, -122.000,,1,,,,
1865,10,8,3,3, 6.3,USA,N. CALIFORNIA,  37.200, -121.900,,1,,,,
1865,10,13,-1,0,,PHILIPPINES,SULU SEA,,,,0,,,,
1865,10,19,2,1, 6.0,PHILIPPINES,PHILIPPINES,  13.250,  123.500,,1,,,2,223
1865,11,18,4,1, 8.0,TONGA,TONGA ISLANDS, -19.500, -173.500,   1.25,4,,,1,20
1865,11,28,1,0,,PERU,CENTRAL PERU, -12.080,  -77.000,,1,,,1,
1866,1,2,2,1, 6.5,ALBANIA,ALBANIAN COASTS,  40.300,   19.400,,1,,,,
1866,1,6,3,0,,ALBANIA,ALBANIAN COASTS,,,,0,,,,
1866,1,19,2,1, 6.8,GREECE,"CHIOS ISLAND, AEGEAN ISLANDS",,,,0,,,,
1866,1,31,1,4, 6.1,GREECE,THERA ISLAND (SANTORINI),  36.400,   25.300,,1,,,,
1866,2,2,2,1,,GREECE,"E. SPORADES ISLANDS, AEGEAN ISLANDS",  38.300,   26.200,,0,,,,
