year,month,day,validity,causeCode,earthquakeMagnitude,locationCountry,locationName,locationLat,locationLong,maxWaterHeight,runups,numDeaths,numInjuries,descrDamage,numDestroyedHouses
701,5,12,4,1, 7.0,JAPAN,SEA OF JAPAN,  35.700,  135.400,,1,,,3,
704,8,2,4,1, 7.0,JAPAN,KUMANONADA,  33.800,  136.700,,1,,,,
740,10,26,2,1, 7.3,TURKEY,MARMARA SEA,  40.700,   29.300,,2,,,,
744,6,30,4,1, 6.4,JAPAN,SW. KYUSHU ISLAND,  32.400,  130.500,,1,1520,,2,470
745,6,9,3,1, 6.5,JAPAN,"OSAKA BAY, JAPAN",  34.600,  135.300,,1,,,,
746,1,18,2,1, 7.0,SYRIA,SYRIAN and EGYPTIAN COASTS,  32.000,   35.500,,2,,,,
765,7,,-1,6,,JAPAN,KYUSHU ISLAND,,,,0,,,,
766,7,20,4,6, 6.5,JAPAN,N. KAGOSHIMA BAY,  31.600,  130.700,,1,,,,
792,4,30,1,1,,ITALY,GULF OF VENICE,  45.500,   11.000,,1,,,,
799,9,18,2,0,,JAPAN,"KASHIMA, JAPAN",,,   2.00,4,,,,
800,,,1,1,,GREECE,IONIAN SEA,  36.200,   23.200,,0,,,,
803,12,19,2,1,*,TURKEY,GULF OF ISKENDERUN,  36.950,   35.600,,0,,,,
818,8,,4,3, 7.9,JAPAN,TOKAIDO,  35.200,  139.300,,1,,,,
842,10,24,1,1,*,UK,"CHANNEL ISLANDS, ENGLAND",  49.500,   -2.500,,2,,,,
850,11,27,4,3, 7.0,JAPAN,NW. HONSHU ISLAND,  39.000,  139.900,,1,,,2,
855,6,,-1,0,,JAPAN,NANKAIDO,,,   2.00,1,,,,
859,,,2,1,,TURKEY,SAMANDAGI,  36.080,   36.250,,1,,,,
863,7,10,4,3, 7.0,JAPAN,NW. HONSHU ISLAND,  37.100,  138.000,,1,,,,
869,7,13,4,1, 8.6,JAPAN,SANRIKU,  38.500,  143.800,,5,1000,,3,
881,4,8,2,0,,ISRAEL,ISRAEL AND EGYPTIAN COASTS,,,,2,,,,
881,6,10,0,1,,SPAIN,CADIZ,  36.000,   -8.000,,0,,,,
887,8,2,3,1, 6.5,JAPAN,NIIGATA,  37.500,  138.100,,1,2000,,,
887,8,26,4,1, 8.6,JAPAN,NANKAIDO,  33.000,  135.300,,2,,,3,
900,,,1,0,,INDIA,NAGAPATTINAM,  10.460,   79.530,,1,200,,3,
922,,,4,1, 7.0,JAPAN,KUMANONADA,  33.800,  136.700,   2.00,1,,,,
957,4,4,1,1,*,IRAN,PERSIAN GULF OR CASPIAN SEA,,,,0,,,,
963,7,22,3,1,*,ITALY,SICILY,  38.000,   15.000,,1,,,,
975,10,26,2,0,,TURKEY,"MARMARA SEA, STRAIT OF BOSPORUS",  41.040,   28.980,,1,,,,
986,10,26,3,1,,TURKEY,MARMARA SEA,  40.800,   29.200,,0,,,,
991,4,5,1,1,*,SYRIA,SYRIAN COASTS,,,,0,,,,
1008,4,11,2,1, 6.5,IRAN,PERSIAN GULF,  27.665,   52.348,,1,,,1,
1026,6,16,3,1, 7.5,JAPAN,"OFF MASUDA, SHIMANE PREFECTURE",  34.800,  131.800,  10.00,2,1001,,4,3000
1033,12,5,4,1,*,SYRIA,AKKO,  33.000,   35.000,,5,,,,
1039,2,2,1,1, 6.8,TURKEY,CONSTANTINOPLE,  38.400,   27.300,,1,,,,
1050,,,3,6,,GREECE,ISLAND OF THIRA,  36.404,   25.396,,1,,,,
1065,9,23,3,1,,TURKEY,MARMARA SEA,,,,3,,,,
1068,3,18,3,1,*,ISRAEL,GULF OF AQABA,  29.500,   34.950,,3,,,3,
1076,10,31,1,0,,CHINA,"GUANGDONG PROVINCE, SOUTH CHINA SEA",  23.000,  117.000,,1,,,1,
1088,5,13,3,1,,JAPAN,"MIYAKO, IWATE PREFECTURE",  39.640,  141.960,,0,,,,
1088,6,10,4,1, 7.0,JAPAN,"MIYAKO, IWATE PREFECTURE",  40.500,  143.000,,1,,,,
1092,9,13,-1,9,,JAPAN,"TERADOMARI, NIIGARA PREFECTURE",,,,0,,,,
1096,12,17,4,1, 8.4,JAPAN,ENSHUNADA,  34.000,  137.500,   7.00,5,,,2,400
1099,2,22,4,1, 8.4,JAPAN,NANKAIDO,  33.000,  135.500,,1,,,1,
1099,11,11,1,0,,UK,"WEST CORNWALL, ENGLAND",  50.116,   -5.483,,1,,,,
1106,3,,-1,1,,ITALY,MALAMOCCO,  45.500,   12.300,,1,,,,
1112,6,20,2,0,,ITALY,CAMPANIA,  40.850,   14.250,,1,,,,
1114,3,12,-1,1,,ITALY,CALABRIAN ARC,  36.500,   36.000,,0,,,,
1134,10,1,1,0,,NORTH SEA,SOUTHERN NORTH SEA,,,,0,,,,
1169,2,4,4,1, 7.0,ITALY,EASTERN SICILY,  37.300,   15.030,,1,,,1,
1169,2,11,3,6,,ITALY,CALABRIAN ARC,  37.734,   15.004,,1,,,,
1172,,,3,1,*,ITALY,ISLAND OF SICILY,  38.000,   15.000,,1,,,,
1202,5,20,4,3, 7.6,SYRIA,SOUTHWESTERN SYRIA,  33.500,   36.000,,3,,,1,
1222,5,,3,1, 6.6,CYPRUS ISLAND,CYPRUS,  34.500,   33.000,,2,,,,
1231,3,11,2,1, 6.9,TURKEY,MARMARA SEA,  41.000,   28.600,,1,,,,
1241,5,22,4,1, 7.0,JAPAN,"KAMAKURA, SAGAMI BAY",  35.200,  139.400,,2,,,1,
1257,10,9,4,1, 7.5,JAPAN,OFF SANRIKU,  39.000,  144.000,,1,,,,
1257,10,9,4,1, 7.0,JAPAN,"SAGAMI BAY, JAPAN",  35.200,  139.500,,3,,,1,
1265,8,11,3,1,,TURKEY,MARMARA SEA,  40.700,   27.400,,1,,,,
1270,3,,3,1,,GREECE,IONIAN SEA,  41.300,   19.500,,0,,,,
1273,9,,2,1, 6.5,ALBANIA,ALBANIAN COASTS,  41.300,   19.700,,1,,,,
1293,5,27,-1,1, 7.1,JAPAN,"KAMAKURA, SAGAMI BAY",  35.200,  139.400,,1,,,,
1303,8,8,3,1, 8.0,GREECE,AEGEAN SEA,  34.000,   26.000,,9,,,3,
